date,average_glucose,median_glucose,min_glucose,max_glucose,reading_count
2020-07-15,112.78298611111111,90.66666666666669,57.0,295.0,576
2020-07-16,122.94965277777777,114.0,45.0,259.0,576
2020-07-17,116.81597222222223,114.33333333333331,53.0,213.0,576
2020-07-18,144.890625,138.0,55.0,271.0,576
2020-07-19,162.26128472222223,138.5,49.0,398.0,576
2020-07-20,137.6369640700483,128.83333333333331,61.0,302.0,576
2020-07-21,178.3144248188406,190.09420289855072,40.0,267.0,576
2020-07-22,139.16163194444445,139.0,40.0,269.0,576
2020-07-23,126.67343749999999,129.0,40.0,213.0,576
2020-07-24,137.01649305555554,131.66666666666669,40.0,269.0,576
2020-07-25,115.67578125,109.0,40.0,199.0,576
2020-07-26,147.94965277777777,120.66666666666666,57.0,367.0,576
2020-07-27,139.88715277777777,115.33333333333331,40.0,392.0,576
2020-07-28,150.97077546296293,151.5,53.0,254.0,576
2020-07-29,126.1021412037037,118.83333333333334,40.0,355.0,576
2020-07-30,125.52951388888889,109.0,68.0,349.0,576
2020-07-31,134.21875,121.0,58.0,415.0,576
2020-08-01,165.38752480158732,120.16666666666666,40.0,422.0,576
2020-08-02,115.41542658730158,118.16666666666666,40.0,259.0,576
2020-08-03,124.30729166666667,113.5,41.0,274.0,576
2020-08-04,118.4092492099135,118.66666666666666,40.0,294.0,576
2020-08-05,141.2431491184298,145.32834331337324,40.0,241.0,576
2020-08-06,150.92672207668,141.6626746506986,42.0,269.0,576
2020-08-07,158.3211971040911,137.65968063872253,91.0,285.0,576
2020-08-08,143.92360686789686,132.82934131736528,127.68263473053892,182.4795918367347,576
2020-08-09,124.5061576464418,124.17065868263472,53.0,358.0,576
2020-08-10,121.65884377079175,120.3802395209581,55.0,214.0,576
2020-08-11,148.83182073353294,143.0,64.0,268.0,576
2020-08-12,155.7949323568873,133.66666666666669,56.0,299.0,576
2020-08-13,210.04498670741404,247.25014907573046,67.0,289.8810375670841,576
2020-08-14,210.62298437189426,242.53995229576626,67.0,278.4606440071556,576
2020-08-15,192.4839681474856,215.82975551580202,58.0,267.0402504472272,576
2020-08-16,191.58800747863248,236.1195587358378,60.0,255.6198568872988,576
2020-08-17,190.84482458755713,224.4093619558736,66.0,244.1994633273703,576
2020-08-18,188.18584308537072,221.49746571258197,73.0,232.77906976744185,576
2020-08-19,159.31418797207314,202.48896839594514,53.0,221.35867620751344,576
2020-08-20,154.30017174766448,191.02877161598093,65.0,209.93828264758497,576
2020-08-21,152.9154958010336,188.22763864042935,53.0,220.0,576
2020-08-22,141.70009068773604,170.35837805605246,53.0,187.09749552772809,576
2020-08-23,157.21906057443846,168.28160405485986,65.0,217.0,576
2020-08-24,155.84916175959054,158.8439177101968,97.0,257.0,576
2020-08-25,136.50347222222223,126.72222222222223,64.0,320.0,576
2020-08-26,139.84635416666666,125.0,53.0,335.0,576
2020-08-27,112.45920138888889,95.5,53.0,282.0,576
2020-08-28,106.61371527777777,101.0,54.0,257.0,576
2020-08-29,126.34157986111111,127.0,53.0,235.0,576
2020-08-30,146.76519097222223,115.16666666666666,55.0,311.0,576
2020-08-31,166.3984375,167.16666666666669,53.0,301.0,576
2020-09-01,125.38194444444444,110.83333333333334,52.0,317.0,576
2020-09-02,140.16840277777777,134.16666666666669,65.0,296.3333333333333,576
2020-09-03,160.53298611111111,138.0,58.0,361.0,576
2020-09-04,142.63020833333334,122.83333333333334,56.0,337.0,576
2020-09-05,130.16840277777777,120.33333333333334,56.0,295.0,576
2020-09-06,134.04861111111111,125.0,71.0,229.0,576
2020-09-07,139.890625,125.5,48.0,289.0,576
2020-09-08,116.67100694444444,96.66666666666669,53.0,358.0,576
2020-09-09,171.70920138888889,167.0,76.0,315.0,576
2020-09-10,129.89930555555554,116.5,40.0,315.0,576
2020-09-11,145.97222222222223,113.0,53.0,333.0,576
2020-09-12,163.2734375,160.33333333333334,64.0,393.0,576
2020-09-13,147.23263888888889,125.33333333333331,52.0,404.0,576
2020-09-14,147.03298611111111,143.0,62.0,274.0,576
2020-09-15,142.89097222222222,126.33333333333331,53.5,349.0,576
2020-09-16,121.05434027777778,103.66666666666666,53.0,352.0,576
2020-09-17,161.62847222222223,157.66666666666666,56.0,279.0,576
2020-09-18,146.90972222222223,133.83333333333331,64.0,321.0,576
2020-09-19,146.15885416666666,131.0,63.0,273.0,576
2020-09-20,174.88628472222223,161.66666666666669,59.0,344.0,576
2020-09-21,162.71875,151.66666666666669,67.0,281.0,576
2020-09-22,173.03645833333334,170.02020202020202,76.0,291.0,576
2020-09-23,148.41753472222223,135.83333333333331,66.0,273.0,576
2020-09-24,110.66232638888889,100.5,56.0,267.0,576
2020-09-25,113.77517361111111,108.66666666666669,51.0,216.0,576
2020-09-26,124.78298611111111,111.5,64.0,257.0,576
2020-09-27,148.99826388888889,145.0,52.0,274.0,576
2020-09-28,140.94965277777777,139.33333333333334,62.0,258.0,576
2020-09-29,158.53385416666666,142.33333333333334,74.0,331.0,576
2020-09-30,151.76909722222223,154.16666666666669,74.0,262.0,576
2020-10-01,177.55902777777777,173.0,70.0,327.0,576
2020-10-02,140.85069444444446,131.66666666666666,68.0,249.0,576
2020-10-03,142.05729166666666,141.0,58.0,219.0,576
2020-10-04,132.13454861111111,122.83333333333334,73.0,233.0,576
2020-10-05,165.30729166666666,155.0,92.0,264.0,576
2020-10-06,130.43012152777777,121.94444444444444,59.0,284.0,576
2020-10-07,136.96918402777777,128.83333333333331,73.33333333333333,275.0,576
2020-10-08,123.49565972222223,126.5,53.0,224.0,576
2020-10-09,141.046875,135.83333333333331,49.0,297.0,576
2020-10-10,155.48090277777777,142.16666666666669,54.0,334.0,576
2020-10-11,132.03125,135.33333333333331,62.0,203.0,288
2020-10-12,128.85243055555554,123.16666666666666,66.0,184.0,288
2020-10-13,129.57523148148147,134.0,54.0,186.0,288
2020-10-14,131.30729166666666,110.16666666666666,61.0,277.0,288
2020-10-15,109.39029431216932,108.0,59.0,149.0,288
2020-10-16,114.71155753968254,105.83333333333334,76.42857142857143,175.0,288
2020-10-17,111.46527777777777,108.0,59.0,195.0,288
2020-10-18,143.98784722222223,138.25,60.0,214.0,288
2020-10-19,159.80902777777777,160.33333333333331,61.0,272.0,288
2020-10-20,129.78819444444446,119.83333333333334,56.0,266.0,288
2020-10-21,147.2807606263982,147.2807606263982,122.56152125279642,172.0,288
2020-10-22,97.58903104026847,99.5648769574944,55.0,122.38926174496645,288
2020-10-23,130.55555555555554,128.0,56.0,204.0,288
2020-10-24,164.00347222222223,169.83333333333334,67.0,246.0,288
2020-10-25,98.39930555555556,105.33333333333334,53.0,157.0,288
2020-10-26,162.61979166666666,163.5,54.0,242.0,288
2020-10-27,133.45659722222223,134.16666666666669,53.0,207.0,288
2020-10-28,136.38888888888889,134.5,66.0,210.0,288
